frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label,dynamic
316.0,25.877551020408163,10.020408163265307,1.2448979591836735,7.081632653061225,2.9591836734693877,1.0,
413.5,10.5,28.555555555555557,34.166666666666664,26.055555555555557,24.97222222222222,2.0,
508.0,65.1025641025641,30.384615384615383,126.76923076923077,130.97435897435898,114.43589743589743,3.0,
689.5,31.0,85.75,80.71875,74.71875,70.25,5.0,
887.0,25.983050847457626,42.86440677966102,136.33898305084745,152.16949152542372,88.05084745762711,7.0,
1062.0,70.04651162790698,114.62790697674419,122.88372093023256,151.32558139534885,132.90697674418604,9.0,
1403.5,34.375,6.833333333333333,25.833333333333332,140.79166666666666,129.125,13.0,
1490.0,66.03225806451613,41.32258064516129,122.35483870967742,137.32258064516128,93.80645161290323,14.0,
1688.5,24.38235294117647,57.85294117647059,116.02941176470588,129.26470588235293,122.0,16.0,
1764.5,59.625,12.8125,94.53125,104.3125,110.15625,17.0,
1946.5,37.05,86.15,103.3,133.975,126.75,19.0,
2037.0,51.0,107.32558139534883,7.186046511627907,151.27906976744185,135.30232558139534,20.0,
2133.0,64.4,106.64444444444445,98.08888888888889,134.62222222222223,127.46666666666667,21.0,
2221.304347826087,37.52173913043478,75.56521739130434,98.30434782608695,102.82608695652173,117.8695652173913,22.0,
2308.5,57.925,8.975,2.625,9.475,5.8,23.0,
2493.5,23.5,145.5,144.6,149.925,26.275,25.0,
2590.5,64.74,20.18,10.32,112.46,120.24,26.0,
2672.5,10.975,12.35,127.75,131.025,123.05,27.0,
2760.5,73.8409090909091,1.8409090909090908,3.659090909090909,2.840909090909091,110.77272727272727,28.0,
2854.0,68.53658536585365,95.53658536585365,82.09756097560975,79.82926829268293,81.97560975609755,29.0,
2937.5,68.5,30.583333333333332,12.777777777777779,71.86111111111111,102.94444444444444,30.0,
3127.5,45.81578947368421,85.0,85.6842105263158,89.89473684210526,92.10526315789474,32.0,
4495.5,77.75,33.52777777777778,32.763888888888886,46.638888888888886,102.11111111111111,46.0,
4866.5,48.46153846153846,33.90384615384615,121.78846153846153,123.32692307692308,118.75,50.0,
